# traditional	simplified
# Generated by scripts/gendict from OpenCC (Apache-2.0).
# Do not edit by hand; run: go run ./scripts/gendict
A型肝炎	甲型肝炎
A肝	甲肝
BMW集團	寶馬集團
B型肝炎	乙型肝炎
B肝	乙肝
C型肝炎	丙型肝炎
C肝	丙肝
D型肝炎	丁型肝炎
D肝	丁肝
E型肝炎	戊型肝炎
E肝	戊肝
PN接面	PN結
SQL隱碼攻擊	SQL注入
一坏	一坯
一目瞭然	一目了然
七逕	七迳
三極體	三極管
上逕	上迳
上鍊	上链
下拉式清單	下拉列表
不可貲計	不可赀計
不瞭解	不了解
丙胺酸	丙氨酸
丟擲	拋出
中介軟體	中間件
主機板	主板
主開機記錄	主引導記錄
么麼	幺麽
么麽	幺麽
乙太網	以太網
乙太網路	以太網
乙太網路由器	以太網路由器
乙太網路路由器	以太網路由器
乙醯胺酚	對乙酰氨基酚
九逕山	九迳山
乳酪	奶酪
乾乾淨淨	干干净净
乾乾脆脆	干干脆脆
乾佑縣	乾佑县
乾圖	乾图
乾坤一擲	乾坤一掷
乾安縣	乾安县
乾安鎮	乾安镇
乾斷	乾断
乾斷食	干断食
乾清宮	乾清宫
乾紅	干红
乾綱	乾纲
乾縣	乾县
乾闥婆	乾闼婆
乾隆年間	乾隆年间
二噁英	二𫫇英
二極體	二極管
互動	交互
互動式	交互式
亞塞拜然	阿塞拜疆
亮胺酸	亮氨酸
人工智慧	人工智能
仇讎	仇雠
介面	界面
介面卡	適配器
代謝症候群	代謝綜合徵
以免藉口	以免借口
以功覆過	以功覆过
任筆沈詩	任笔沈诗
伊利諾	伊利諾伊
伊利諾州	伊利諾伊州
伺服器	服務器
佇列	隊列
位元	比特
位元率	比特率
位元組	字節
位元速率	碼率
位址	地址
位址列	地址欄
低階	低級
佛漢·威廉斯	沃恩·威廉斯
佛瑞	福雷
作業系統	操作系統
使用者	用戶
使用者名稱	用戶名
來電轉接	呼叫轉移
例項	實例
侔德覆載	侔德覆载
停用	禁用
偵錯	調試
偵錯程式	調試器
傅立葉	傅里葉
傢俱	家具
傳送	發送
傷亡枕藉	伤亡枕藉
傷心小棧	紅心大戰
價效比	性價比
優先順序	優先級
儲存	保存
元件	組件
光碟	光盤
光碟機	光驅
克羅埃西亞	克羅地亞
克萊門第	克萊門蒂
入口網站	門戶網站
內建	內置
內碼表	代碼頁
全域性	全局
全形	全角
全球資訊網	萬維網
其陰多蒐	其阴多蒐
冰棒	冰棍
冷盤	涼菜
凌藉	凌借
凱吉	凱奇
出醜狼藉	出丑狼藉
函式	函數
函數語言程式設計	函數式編程
函覆	函复
刀鋒伺服器	刀片服務器
分割槽	分區
分散式	分佈式
分時多工	時分複用
分時多重進接	時分多址
分碼多重進接	碼分多址
分空間多重進接	空分多址
分頻多工	頻分複用
分頻多重進接	頻分多址
列印	打印
列支敦斯登	列支敦士登
列舉	枚舉
利蓋悌	利蓋蒂
前處理器	預處理器
剪下	剪切
剪貼簿	剪貼板
副檔名	擴展名
加彭	加蓬
包羅定	鮑羅丁
北卡羅萊納	北卡羅來納
北卡羅萊納州	北卡羅來納州
北馬利安納	北馬里亞納
北馬利安納群島	北馬里亞納羣島
匯入	導入
匯出	導出
匯流排	總線
區域性	局部
區域網	局域網
千里達及托巴哥	特立尼達和多巴哥
千鍾粟	千锺粟
半形	半角
南卡羅萊納	南卡羅來納
南卡羅萊納州	南卡羅來納州
